,Country,Total_Cases,New_cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,Total_Cases_per_1M_Pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop,Population
105,Senegal,"35,857",+225,919 ,+11,"30,605","4,333",38,"2,104",54,"402,060","23,595","17,040,335 "
106,Cameroon,"35,714",,551 ,,"32,594","2,569",53,"1,323",20,"905,000","33,531","26,990,106 "
107,Ivory Coast,"34,935",,200 ,,"32,513","2,222",,"1,303",7,"438,334","16,345","26,817,448 "
108,Malawi,"32,442",+44,"1,069 ",+2,"22,373","9,000",4,"1,667",55,"203,422","10,452","19,462,113 "
109,Botswana,"31,746",,359 ,,"26,760","4,627",1,"13,318",151,"825,247","346,215","2,383,629 "
110,Australia,"29,037",+7,909 ,,"26,194","1,934",,"1,130",35,"14,628,827","569,211","25,700,182 "
111,Sudan,"28,605",,"1,895 ",,"23,156","3,554",,642,43,,,"44,538,134 "
112,DRC,"26,469",,712 ,,"22,432","3,325",,290,8,,,"91,386,458 "
113,Thailand,"26,370",+65,85 ,,"25,744",541,1,377,1,"1,579,597","22,592","69,919,061 "
114,Jamaica,"26,026",+723,453 ,+7,"14,301","11,272",31,"8,763",153,"226,991","76,429","2,969,947 "
115,Malta,"24,398",+182,334 ,+5,"20,742","3,322",18,"55,156",755,"725,058","1,639,134","442,342 "
116,Angola,"21,086",+31,514 ,+2,"19,647",925,10,628,15,"402,283","11,990","33,551,271 "
117,Maldives,"20,794",+131,64 ,,"18,124","2,606",162,"38,017",117,"551,978","1,009,158","546,969 "
118,Madagascar,"20,155",,300 ,,"19,543",312,23,715,11,"122,057","4,333","28,169,398 "
119,Rwanda,"19,509",,267 ,,"17,810","1,432",11,"1,482",20,"1,034,869","78,589","13,168,083 "
120,French Polynesia,"18,459",,140 ,,"4,842","13,477",2,"65,455",496,"26,355","93,454","282,010 "
121,Mayotte,"18,140",,127 ,+1,"2,964","15,049",25,"65,430",458,"138,139","498,261","277,242 "
122,Mauritania,"17,309",,442 ,,"16,656",211,14,"3,658",93,"179,268","37,886","4,731,762 "
123,Eswatini,"17,184",+11,658 ,,"15,276","1,250",36,"14,709",563,"154,809","132,508","1,168,301 "
124,French Guiana,"16,693",,87 ,,"9,995","6,611",6,"54,932",286,"153,467","505,018","303,884 "
125,Guinea,"16,670",+130,95 ,+2,"15,181","1,394",24,"1,247",7,"146,109","10,926","13,371,991 "
126,Syria,"15,981",+56,"1,063 ",+5,"10,374","4,544",,898,60,,,"17,786,565 "
127,Cabo Verde,"15,724",,152 ,,"15,022",550,23,"28,075",271,"125,300","223,719","560,077 "
128,Gabon,"15,625",,90 ,,"13,495","2,040",19,"6,910",40,"548,775","242,706","2,261,066 "
129,Tajikistan,"13,308",,90 ,,"13,218",0,,"1,375",9,,,"9,681,854 "
130,Réunion,"13,125",,59 ,,"11,956","1,110",66,"14,589",66,"98,785","109,804","899,647 "
131,Haiti,"12,536",,250 ,,"9,828","2,458",,"1,090",22,"54,379","4,730","11,496,604 "
132,Belize,"12,335",,315 ,,"11,926",94,2,"30,646",783,"87,037","216,242","402,498 "
133,Burkina Faso,"12,153",,143 ,,"11,754",256,,571,7,,,"21,288,093 "
134,Hong Kong,"11,091",+16,202 ,,"10,629",260,13,"1,471",27,"8,601,877","1,141,101","7,538,228 "
135,Andorra,"11,019",,112 ,,"10,599",308,17,"142,458","1,448","193,595","2,502,877","77,349 "
136,Lesotho,"10,523",,307 ,,"3,888","6,328",,"4,886",143,"61,984","28,779","2,153,766 "
137,Guadeloupe,"10,149",,162 ,,"2,242","7,745",5,"25,362",405,"135,623","338,913","400,171 "
138,Congo,"9,179",,131 ,,"7,514","1,534",,"1,636",23,"92,500","16,490","5,609,413 "
139,Suriname,"8,971",,175 ,,"8,464",332,3,"15,200",297,"41,743","70,727","590,195 "
140,Guyana,"8,772",,200 ,,"8,106",466,7,"11,116",253,"69,745","88,382","789,130 "
141,South Sudan,"8,766",+89,102 ,,"4,317","4,347",8,777,9,"115,299","10,219","11,282,565 "
142,Bahamas,"8,600",,181 ,,"7,415","1,004",1,"21,729",457,"69,254","174,977","395,790 "
143,Mali,"8,560",,358 ,,"6,439","1,763",,415,17,"155,664","7,541","20,642,138 "
144,Somalia,"8,321",+280,302 ,+8,"3,932","4,087",,514,19,,,"16,190,836 "
145,Aruba,"8,110",+21,77 ,+1,"7,828",205,11,"75,742",719,"109,383","1,021,565","107,074 "
146,Trinidad and Tobago,"7,732",,139 ,,"7,497",96,2,"5,513",99,"98,717","70,383","1,402,568 "
147,Togo,"7,570",+49,92 ,+2,"6,306","1,172",,900,11,"245,163","29,154","8,409,272 "
148,Martinique,"6,818",,46 ,,98,"6,674",3,"18,178",123,"104,749","279,281","375,067 "
149,Nicaragua,"6,489",,174 ,,"4,225","2,090",,972,26,,,"6,677,903 "
150,Equatorial Guinea,"6,329",,96 ,,"5,737",496,24,"4,414",67,"101,048","70,474","1,433,838 "
151,Djibouti,"6,146",+12,63 ,,"5,931",152,,"6,160",63,"117,782","118,052","997,712 "
152,Benin,"6,071",,75 ,,"4,963","1,033",35,492,6,"504,305","40,879","12,336,529 "
153,Iceland,"6,059",,29 ,,"6,020",10,7,"17,678",85,"504,862","1,472,992","342,746 "
154,CAR,"5,018",,63 ,,"4,920",35,2,"1,027",13,"37,104","7,593","4,886,448 "
155,Curaçao,"4,790",,22 ,,"4,671",97,1,"29,110",134,"52,765","320,664","164,549 "
156,Gambia,"4,759",,152 ,,"4,143",464,8,"1,933",62,"44,076","17,901","2,462,233 "
157,Niger,"4,740",,172 ,,"4,250",318,23,191,7,"78,967","3,185","24,792,083 "
158,Gibraltar,"4,249",+2,93 ,,"4,134",22,1,"126,143","2,761","192,855","5,725,419","33,684 "
159,Chad,"4,177",+16,140 ,,"3,668",369,,249,8,,,"16,742,087 "
160,Channel Islands,"4,041",,86 ,,"3,948",7,1,"23,098",492,"380,165","2,173,005","174,949 "
161,San Marino,"3,922",,76 ,,"3,426",420,6,"115,421","2,237","44,820","1,319,011","33,980 "
162,Sierra Leone,"3,918",,79 ,,"2,678","1,161",,485,10,"116,448","14,401","8,086,309 "
163,Saint Lucia,"3,866",+23,43 ,,"3,563",260,2,"20,988",233,"32,827","178,217","184,197 "
164,Comoros,"3,596",,146 ,,"3,410",40,,"4,077",166,,,"882,079 "
165,Guinea-Bissau,"3,312",,49 ,,"2,668",595,7,"1,657",25,"53,637","26,828","1,999,293 "
166,Barbados,"3,285",+21,37 ,,"2,815",433,,"11,422",129,"130,064","452,217","287,614 "
167,Mongolia,"3,228",+67,2 ,,"2,481",745,7,974,0.6,"1,893,606","571,405","3,313,948 "
168,Seychelles,"2,979",,15 ,,"2,648",316,,"30,164",152,"5,200","52,653","98,760 "
169,Eritrea,"2,944",,7 ,,"2,436",501,,822,2,"23,693","6,619","3,579,612 "
170,Liechtenstein,"2,590",+1,54 ,,"2,488",48,1,"67,797","1,414","28,293","740,616","38,202 "
171,Vietnam,"2,512",+11,35 ,,"1,920",557,,26,0.4,"2,214,802","22,616","97,932,252 "
172,Yemen,"2,473",+29,651 ,+1,"1,446",376,23,82,22,"17,404",575,"30,268,273 "
173,New Zealand,"2,399",+1,26 ,,"2,301",72,,480,5,"1,779,213","355,693","5,002,100 "
174,Burundi,"2,299",,3 ,,773,"1,523",,190,0.2,"90,019","7,422","12,128,237 "
175,Turks and Caicos,"2,177",,15 ,,"2,020",142,5,"55,719",384,"17,366","444,473","39,071 "
176,Sint Maarten,"2,070",,27 ,,"2,025",18,2,"47,910",625,"21,103","488,428","43,206 "
177,Liberia,"2,024",,85 ,,"1,892",47,2,394,17,"73,921","14,388","5,137,659 "
178,Monaco,"2,023",+4,26 ,,"1,835",162,3,"51,305",659,"51,953","1,317,567","39,431 "
179,Sao Tome and Principe,"1,944",,32 ,+1,"1,562",350,,"8,761",144,"11,592","52,239","221,904 "
180,St. Vincent Grenadines,"1,663",+18,8 ,,"1,023",632,2,"14,958",72,"37,616","338,337","111,179 "
181,Papua New Guinea,"1,583",+54,16  ,,846,721,,175,2,"47,490","5,241","9,061,328 "
182,Saint Martin,"1,571",,12 ,,"1,399",160,7,"40,168",307,"22,204","567,718","39,111 "
183,Cambodia,987,+34, ,,510,477,,58,,"527,762","31,274","16,875,432 "
184,Taiwan,969,+2,10 ,,932,27,,41,0.4,"177,578","7,447","23,846,093 "
185,Bhutan,868,,1 ,,866,1,,"1,117",1,"544,778","700,803","777,362 "
186,Antigua and Barbuda,848,+35,21 ,,410,417,45,"8,611",213,"15,268","155,038","98,479 "
187,Isle of Man,757,+81,25 ,,417,315,2,"8,871",293,"35,659","417,851","85,339 "
188,Bermuda,722,,12 ,,688,22,,"11,622",193,"177,606","2,859,033","62,121 "
189,Diamond Princess,712,,13 ,,699,0,,,,,, 
190,Faeroe Islands,658,,1 ,,657,0,,"13,432",20,"233,152","4,759,272","48,989 "
191,Mauritius,639,,10 ,,588,41,,502,8,"289,552","227,420","1,273,203 "
192,St. Barth,638,,1 ,,462,175,,"64,464",101,"19,114","1,931,292","9,897 "
193,Caribbean Netherlands,518,,5 ,,443,70,,"19,630",189,"6,842","259,285","26,388 "
194,Tanzania,509,,21 ,,183,305,7,8,0.3,,,"60,875,850 "
195,Cayman Islands,451,,2 ,,426,23,,"6,808",30,"75,166","1,134,684","66,244 "
196,Brunei ,189,,3 ,,182,4,,429,7,"106,433","241,718","440,318 "
197,British Virgin Islands,153,,1 ,,131,21,,"5,038",33,"13,223","435,425","30,368 "
198,Grenada,148,,1 ,,147,0,,"1,311",9,"20,288","179,735","112,877 "
199,Dominica,144,, ,,130,14,,"1,997",,"11,768","163,200","72,108 "
